name|type|description|prerequisites|benefits|Metaconstruction|Convergence|Psionic|Surge|Technique|Cerulean_Seas|Item_Creation|Conduit|General|Gather_Power|Metapsionic|Kineticist|Akashic|Confluence|teamwork|Shifting|Combat|Metamagic|Heritage|Style|Mineralite_Racial|Projected_Form
Akashic Charge|Akashic, Combat|You can channel akasha to amplify your blows when charging. When you make a charge attack while this feat is active, your weapon is briefly encased in a thin sheath of akashic energy. You gain 1 point of essence.|con 13 or veilweaver level 1.|you can bind essence into this feat. you gain an insight bonus on attack rolls and damage rolls equal to the invested essence on all charge attacks.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Akashic Craftsman|Akashic|You have adapted your ability to weave veils to weave essence into mundane objects, causing them to become magical|you can also bypass the normal restrictions for spell on spell trigger and spell completion items you craft by adding 3 + spell level to the crafting dc.||0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Akashic Demolitionist|Akashic, Combat|Your personality isnt the only thing that lights up a room. You gain 1 point of essence.|throw anything|you can invest essence into this feat. when using thrown weapons that deal splash damage you gain an insight bonus to any saving throw dcs of their splash damage equal to the essence invested in this feat, and an insight bonus to damage and splash damage equal to twice the essence invested in this feat.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Akashic Flux|Akashic, Combat|Your are able to channel the forces of the cosmos to tame the raging elemental energies within. In addition, you gain 1 point of essence.|two maneuvers known of two different disciplines, essence pool 1|whenever you would spend animus or tempo points, you may take an amount of essence burn equal to the number of points which would be spent to trigger the effect as if you had expended a number of points without actually expending any. in addition, whenever you reassign essence, you may spend animus or tempo points to gain an amount of temporary essence equal to half the number of points spent for 1 minute.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Akashic Fury|Akashic, Combat|Your essence burns so brightly within you that when your anger flares it bursts forth in a burning light that envelopes you. You gain 1 point of essence.|bloodrage or rage class features.|you can invest essence in this feat. while you are raging, creatures who end their turns adjacent to you take 1d10 points of akashic damage per point of essence invested in this feat. a successful fortitude save (dc 10 + 1/2 your character level + your constitution modifier + the essence invested in this feat) halves this damage. this damage comes from a pulse of akashic power, ignoring any of the creature's hardness, damage reduction, or resistances.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Akashic Supply|Akashic|Your internal reserves ensure that your ammunition never exhausts You gain one point of essence.|con 13 or ability to shape veils|you gain the ability to invest essence into a weapon you are carrying. for every point of essence invested, you may make one attack per round with that weapon which does not consume ammunition or charges. this ability does not enable you to make additional attacks per round with a weapon.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Akashic Talespinner|Akashic|You have committed a specific story to heart and memory. You dedication this tale has expanded your mastery of it, when you call it forth from the akashic records.|ability to shape veils, perform (any) 5 ranks|choose a veil set (ex. angelic armaments or spiders stories). when you have 3 or more veils from that set shaped, your essence capacity for all veils you have shaped from that set is increased by 1. this does not stack with the feat enhanced capacity or other increases to essence capacity not derived from class abilities or veilweaver level.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Amateur Astrologist|Akashic|You have begun to unlock the secrets of the stars. You gain 1 point of essence. Special You may take this feat multiple times, choosing a different constellation each time. If you gain the constellations class feature after taking this feat, you must immediately retrain this feat, exchanging it for any other feat you qualify for.|essence pool of 1 or higher, knowledge (arcana) 5 ranks, cannot have the constellations class feature.|choose a single constellation. you gain the ability to manifest the weapon, armor, or equipment options of that constellation as a zodiac of your class level, though you cannot manifest its champion form. you must still pay any essence costs to manifest the constellation as normal.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Amateur Stormbound|Akashic|You have managed to learn a small amount of a stormbounds power despite not possessing their innate connection to the Elderstorm. Special If you gain levels in a class that grants the storm powers class feature, you can immediately trade this feat for the Extra Storm Power feat.|wisdom 13, you have no levels in a class that has the storm powers class feature.|you gain a single storm power available to the stormbound, treating your effective stormbound level as 1. if that storm power can be invested with essence, you may invest essence in it as if it were a normal essence receptacle. this feat counts as the storm power class feature for the purposes of the extra storm power feat, allowing you to gain additional storm powers by selecting that feat.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Apprentice Chef|Akashic|You have begun to take your first steps in becoming a chef. You gain 1 point of essence.||you gain the ability to shape the chefs armory veil. if you do not have any class levels in a veilweaving class, you may choose to use intelligence, wisdom, or charisma for your veilweaving attribute. if you later gain a level in a veilweaving class, this veil uses that classs veilweaving modifier for this veil. treat your veilweaving level as 1/2 of your non-veilweaving class levels higher (minimum 1) for determining effects related to the chefs armory veil. this effect cannot give you more veilweaving levels than you have hit dice.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Artificial Spartan|Akashic, Combat|Your mechanical facets enable you to substitute keen learning where mortals rely upon emotion You gain one point of essence.|android or forgeborn, daevic level 1st|you may use intelligence in place of charisma for all of your daevic class abilities. in addition, you may invest essence into your nanite surge racial trait to gain an additional use per day for each point invested or invest essence into your fearless, strange mind, natural armor, crystal skin, memory matrix, or constructed racial traits (individually) to increase any of their bonuses by 1 for each point invested.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Bestial Senses|Akashic|Your primal nature has granted you exceptionally sharp senses. You gain 1 point of essence.|creeper, morphbear, nameer, wolger, or wyrmkin.|you gain the scent special ability and a +1 racial bonus to perception and survival checks made using your sense of smell. you may invest essence into this feat to increase the granted bonus by +1 per point of essence invested.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Bind the Bestial Soul|Akashic, Heritage|Attaining mastery over your inner beast has reaped its rewards|level 11, ability to shape the beastblood transformation veil as a racial trait|you treat the beastblood transformation veil granted by your racial trait as if it were bound to the blood chakra. in addition as a full-round action you may change the animal form chosen for the effects of this veil to another valid choice. you may use this ability a number of times per day equal to your veilweaving modifier.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0
Bind the Myriad Visage|Akashic, Heritage|Your form is ever shifting and your mutable nature has reached its peak.|level 9, ability to shape the visage of the faceless veil as a racial trait|you treat the visage of the faceless veil granted by your racial trait as if it were bound to the head chakra. in addition as part of the alter self at-will ability this veil grants you, you gain any subtypes of that form for as long as you remain transformed.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0
Blessed of the Harrow|Akashic|Truth is in the cards, if you have but the the gift to see it. You gain 1 point of essence.|harrowed|you may bind essence to this feat. for each point of essence bound in this feat, the bonuses granted by the harrowed feat increase by +1 and you may use the effects of that feat one extra time each day. you may still only have one card drawn by the harrowed feat at a time; if you draw a card while you have an unused card, the of the unused card are lost.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Blessings of Fate|Akashic|You may tap into the powers of fate more often than normal. Special This feat may be selected multiple times, granting an additional 3 uses of draw the fates each day for each time it is selected.|draw the fates class feature|you may use your draw the fates class feature an additional 3 times each day.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Blurring Essence|Akashic, Combat|You can use diffused akasha to make your form appear hazy. You gain 1 point of essence.|con 13 or veilweaver level 1, int 13, combat expertise, improved feint.|you can invest essence into this feat. when you feint in combat, instead of denying your opponent their dexterity bonus to ac, that opponent suffers a 5% miss chance on attacks against you, for each point of essence invested in this feat the miss chance increases by +5%. this miss chance lasts until the start of your next turn. true seeing negates this miss chance.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Body-Bound Mind|Akashic, Psionic|The energy of akasha courses through your mind, increasing your mental capacity. You gain 1 point of essence.|con 13 or veilweaver level 1, a power point reserve.|you can bind essence into this feat. you gain bonus power points equal to twice the bound essence. if you have the ability to bind a veil to your head slot (even if you dont have one currently bound), you gain an additional 2 bonus power points as long as at least 1 point of essence is bound in this feat.|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Born of Akasha|Akashic|Your birth was brought about by the powers of akasha, whether it be by an immaculate birth caused entirely by magic or simply a vast amount of power tied to your bloodline. Special Unlike most feats, this feat must be taken at first level during character creation and can never be retrained.|finally, you can choose to gain the effects of the living veils incarnate form alternate racial trait as part of selecting this feat. if you do so, this choice cannot later be changed and you count as having that ability for the purposes of .|the powers of your veil granted by your racial trait are linked intrinsically to your body, making you a creature that is not-quite-mortal and not-quite-veil. your appearance is altered by your veil you shape as part of your racial trait and that veil is part of your body, it cannot be sundered and you take a -10 penalty on your disguise checks made to disguise it. if this veil would be suppressed (such as if you choose to suppress it, if it is dispelled, or if you enter an anti-magic field), you are staggered for the duration of the suppression. this veil cannot be permanently suppressed or unshaped. if you have the ability to shape multiple veils as part of the racial trait that granted this veil, you can only unshape it as part of shaping a different veil granted by that trait to replace it. if your veil would be affected by an effect that would permanently unshape it, it is instead only suppressed temporarily for 1 hour. while this veil is suppressed your appearance becomes dull, losing much of its color and patterns, and you become slightly translucent as if not fully there.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Bound Living Veil|Akashic|The veil that makes up your physical form has become more firmly bound to reality, granting you even greater abilities. Special If you have the Composite Living Veil feat, the veil you swap in is immediately considered to be bound using this feat if you have the ability to do so.|character level 2, living veil racial trait|you gain the ability to bind your base veil to a chakra slot. at character level 2, you can bind your base veil to the hands slot if you have shaped it in that slot. at 4th level, and every 2 levels thereafter, you gain access to more powerful chakra slots in the following order feet, head, wrists, shoulders, headband, neck, belt, chest, body. at 9th level, you gain access to the blood, interface, ring, storm, and voice chakra slots in this way as well.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Bright Enervations|Akashic, Psionic|You are the light that saps strength with overwhelming brightness. Enervations still use the essence capacity of the unwilling bond or psikashic bond, like normal vivifications. Additional essence assigned to an enervation increases its effects, as normal. Vivifications that are not constant or do not have round by round effects cannot be used as enervations (e.g. renewal and restoration). Sundering an enervation is treated as sundering a brand veil. You may have a number of active enervations equal to half your veilweaving modifier. You gain 1 point of essence. Special If you have the psikashic bond class feature, the distance your enervations may remain on a creature is equal to the range of your collective.|radiant level 4th, unwilling bond class feature or unwilling participant feat|you may treat your vivifications as though they were veils with the [brand] descriptor (called enervations). an enervation has a reversed effect on the creature it is placed upon compared to a vivification. for example, the clarity enervation would inflict a penalty to intelligence, the durability enervation would cause the creature to take 1 additional damage when struck, and the regeneration enervation would cause the creature to lose 1 hp each round.|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Chakra Strike|Akashic, Combat|You can channel akasha into your precision-based attacks, damaging your foes inner energy and body simultaneously. You gain 1 point of essence.|con 13 or veilweaver level 1, sneak attack or studied strike class feature.|you can invest essence into this feat. you gain an insight bonus on damage rolls made when delivering attacks with the sneak attack or studied strike class features equal to twice the invested essence.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Chakra-Enhanced Fortitude|Akashic|You can use akasha to strengthen your blood and harden your internal organs. You boost your ability to resist effects that would adversely affect your health. You gain 1 point of essence.|con 13 or veilweaver level 1.|you can invest essence into this feat. you gain an insight bonus on fortitude saves equal to the invested essence.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Chakra Power|Akashic, Combat|You can take your bodys toughness and natural resilience and use it to fuel attacks whose power exceeds mere physical strength. You gain 1 point of essence.|con 13, str 13, power attack.|you can invest essence into this feat. you gain an insight bonus to cmb to succeed on a bull rush, overrun, or sunder attack equal to the invested essence. you also gain an insight bonus equal to the invested essence on damage rolls made when using power attack.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Chakra Targeting|Akashic, Combat|You can focus akashic energy into your ranged attacks, dealing more damage with successful critical hits. You gain 1 point of essence.|con 13 or veilweaver level 1, deadly aim.|you can invest essence into this feat. while using the deadly aim feat, you gain an insight bonus equal to the invested essence on ranged attack rolls against targets within 30 feet, and an insight bonus equal to the invested essence on ranged damage rolls.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Clarify Fate|Akashic|Tapping into the power of fate allows you to clarify your essence. You gain 1 point of essence.|draw the fates class feature|when you activate your draw the fates class feature you may reinvest your essence.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Clashing Essence|Akashic|Your essence rushes to the forefront to aid where it is needed. You gain 1 point of essence.||you may reallocate your essence as an immediate action in response to being targeted by an attack, making a saving throw, making an attack roll, or an ally under the effect of one of your veils being in any of these situations. you may use this ability after the result of the roll is revealed.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Composite Living Veil|Akashic|Your form is composed of multiple veils, allowing you to switch between them. Special This feat can be selected multiple times, allowing you to choose an additional veil each time it is selected. If you have the Folded Veil feat and select your base veil with it, you can choose from any of the veils you have selected with this feat (or your base veil) any time you change your loadout. *The folded veil feat is found in Akashic Classes Transcendent|living veil racial trait|select a single veil. by spending one hour in meditation, you can replace your base veil granted by your living veil racial trait with this veil, treating it as your base veil for all purposes. if you have the ability to bind this veil to its chakra slot, you may do so as part of this hour. you can switch back to your original base veil by spending an additional hour. if you have the folded veil* feat, you can select your base veil as your veil with that feat. when you change loadout, you can swap your base veil with the veil gained from this feat (or vice versa).|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Corrupted Ignition|Akashic|You gain 1 point of essence.|ability or veil that allows you to burn essence|whenever you would suffer essence burn, you can instead choose to corrupt an equivalent number of points of your own non-temporary essence (see corrupted essence ) in place of suffering the essence burn. unlike other corrupted essence, this self-inflicted corruption is removed from your essence the next time you rest and reshape your veils. you cannot choose to corrupt your essence using this ability if all of your non-temporary essence is already corrupted. if you corrupt your essence as part of using an ability that requires you to burn essence, you are still treated as if you burned your essence when determining its effects. if multiple points of essence would be burned, you choose whether to burn essence or corrupt your essence individually for each point of essence burned.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Daevic Rage|Akashic|You can channel akasha to enhance your rage. When you do so, eldritch energy bleeds from your body with every wound you take, shrouding you in power that harms your foes and shields you from harmful magics. You gain 1 point of essence.|con 13 or veilweaver level 1, bloodrage or rage class feature.|you can invest essence into this feat. while raging, you deal an additional 2 points of untyped energy damage per point of essence invested on all melee attacks and a +1 insight bonus per point of essence invested on all saves vs. spells and spelllike abilities for one round after taking hit point damage. this ability can only be triggered once per round.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Dark Shogunate Wanderer|Akashic, Convergence|You have walked the caverns of the Dark Shogunate, in dream or reality, and emerged touched by death itself. In addition, if you have all five O-yoroi of the Obsidian Ronin veils shaped, whenever you deal negative energy damage to a creature it takes a -2 penalty on all attack rolls that do not include you as a target. You gain 1 point of essence.|convergence class feature or lattice-born.|as long as you have at least two veils from the o-yoroi of the obsidian ronin veil set shaped, all of your attacks deal 2 additional points of negative energy damage against living creatures, plus 1 additional point of damage per additional o-yoroi of the obsidian ronin veil you have shaped. if you have the planar detonation class feature, you may choose to deal negative energy damage instead of the blasts normal energy type; this destructive energy only takes from its targets and cannot heal undead, instead dealing half the damage it would deal to living creatures.|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Death Roll|Akashic, Combat|You learn to harness your reptilian ferocity and master a devastating combat technique. You gain 1 point of essence.|base attack bonus +1, sobek.|when you make a successful cmb check to initiate or maintain a grapple, you may perform a death roll. as you cling to your foe, you tuck in your legs and roll rapidly, twisting and wrenching your victim. you inflict your bite damage and knock the creature prone. for each point of essence invested in your racial bite ability, you gain a +1 racial bonus to your cmb on grapple checks.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Deck of Chosen Fate|Akashic|By shaping your deck as a veil you have learned a method of choosing your fate. Whenever you draw a card from the Deck of Fates as part of using a path of the augur class feature, you may bind 1 point of essence to that veil to to draw an additional card and choose which to use to determine the abilitys effects. If the ability causes you to draw multiple cards, you draw an additional card for each of those cards individually when determining their effects. For example if you use the ascension ability you would draw two cards to determine the effects of draw the fates (choosing one to determine the exaltation or descension) and then two cards to determine the effects of ascension (choosing only one to determine the ascension effect). You gain 1 point of essence.|path of the augur, ability to shape the deck of the fates veil|while you have the deck of the fates veil shaped, you can choose to merge your deck of spectral cards with the deck produced by that veil. if the veil is suppressed, you may draw cards from your spectral deck as normal.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Demonic Doctrine|Akashic, Convergence|Death is an intrinsic part of your existence. In addition, if you have ten Trappings of Chaos veils shaped, the essence capacity for all veils from this set increases by 1. You gain 1 point of essence.|convergence class feature or lattice-born.|as long as you have at least two veils from the trappings of chaos veil set shaped, all of your attacks are treated as chaotic-aligned for the purpose of overcoming damage reduction. if you have the planar detonation class feature, your planar detonation deals one additional point of acid damage per trappings of chaos veil you have shaped.|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Disciple of Charon|Akashic, Convergence|Death is an intrinsic part of your existence. In addition, if you have ten Boatmans Ensemble veils shaped, the essence capacity for all veils from this set increases by 1. You gain 1 point of essence.|convergence class feature or lattice-born.|as long as you have at least two veils from the boatmans ensemble veil set shaped, all of your attacks are treated as lawful-aligned for the purpose of overcoming damage reduction. if you have the planar detonation class feature, your planar detonation deals one additional point of cold damage per boatmans ensemble veil you have shaped.|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Diving Fury|Akashic, Combat|Swooping down on your foe, you unleash a furious avian barrage. You gain 1 point of essence.|base attack bonus +1, suqur.|when using the charge action to attack with a manufactured or veil weapon while flying, you may also make a single free attack with each of your talons as part of the charge (these are treated as secondary natural attacks). in addition, your falcon blood racial trait may now be invested with essence, increasing the bonus to fly and perception checks by +1 per point of essence invested.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Duelist's Bind|Akashic, Combat|Empowering yourself with essence allows you to further hone the skills brought to from extensive training. You gain 1 point of essence.|weapon training class feature.|you can invest essence in this feat. for each point of essence invested, you gain a +1 insight bonus to attack and damage rolls made with weapons ing from your weapon training class feature.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Elemental Ambition|Akashic, Convergence|The ways of geniekind are as intuitive to you as breathing. In addition, if you have ten Genies Ambitions veils shaped, the essence capacity for all veils from this set increases by 1. You gain 1 point of essence.|convergence class feature or lattice-born.|as long as you have at least two veils from the genies ambitions veil set shaped, you ignore the first 5 points of any types of energy resistance possessed by the target of your attack or ability. if you have the planar detonation class feature, your planar detonation deals one additional point of acid, cold, fire, or electric damage (chosen when you activate your planar detonation) per genies ambitions veil you have shaped.|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Elemental Essence|Akashic|Your soul is imbued with elemental power that can alter the elements of your veils. You gain 1 point of essence.||you can invest essence in this feat. as a free action, even if it isnt your turn, you can bind a point of essence invested in this feat and select a single veil you have shaped with the acid, cold, electricity, or fire descriptors; select one of those descriptors that veil loses its normal descriptor, and gains the chosen descriptor. any damage of the original type dealt by that veil is changed to the new type. if a veil has multiple such descriptors, choose one of them to change with this effect. this effect lasts until you rest and shape your veils for the day or until the veil is unshaped.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Enhanced Capacity|Akashic, General|Your capacity for channeling Akasha allows you to maintain more essence in a single veil. Special You can gain this feat multiple times. You cant apply the feats effects to the same essence receptacle more than once.|con 15 or veilweaving level 7th.|choose one of your essence receptacles such as a veil, magic item designed to contain essence, or class feature. your essence capacity for that essence receptacle is increased by 1. you may change the chosen receptacle when you shape your veils each day.|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0
Entitled Empire|Akashic|Your titles reach far and wide, encompassing all. You gain 1 point of essence. Special If you possess the house of servants or royal attendants class feature, the range of that class feature is equal to the range of your titles. However, your servants cannot remain invisible once they are no longer within Medium range.|ability to shape at least two veils with the title descriptor, veilweaver level 3rd|your entitled creatures can move up to medium range (100 feet + 10 feet per veilweaver level) before your titles become suppressed on them. if your veilweaver level is at least 12th, the distance becomes long range (400 feet + 40 feet per veilweaver level). at 15th, it becomes limitless so long as the entitled is on the same plane as you. at 19th, it reaches even into other planes and dimensions.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
